candidate_id,age,gender,race,years_experience,education_level,skills_score,interview_score,hired
1001,28,Male,White,4.5,Bachelor's,82.3,74.1,1
1002,34,Female,Asian,6.0,Master's,79.1,81.2,0
1003,41,Male,White,12.0,Bachelor's,68.7,63.4,1
1004,26,Female,Black,2.0,Bachelor's,85.1,77.3,0
1005,33,Male,White,8.5,Master's,91.2,88.0,1
1006,29,Female,Hispanic,5.0,Master's,87.4,82.5,0
1007,45,Male,White,18.0,Bachelor's,72.3,69.1,1
1008,31,Female,Asian,7.0,PhD,93.1,90.2,0
1009,27,Male,White,3.5,Bachelor's,76.4,71.3,1
1010,38,Female,Black,10.0,Master's,80.2,78.4,0
1011,30,Male,White,6.0,Bachelor's,74.8,68.5,1
1012,25,Female,White,1.5,Bachelor's,83.6,79.1,1
1013,42,Male,Hispanic,14.0,Bachelor's,70.1,65.2,0
1014,35,Female,Asian,8.5,Master's,88.9,85.3,0
1015,29,Male,White,5.0,Master's,86.2,80.7,1
1016,32,Female,Black,7.5,Bachelor's,78.4,74.6,0
1017,44,Male,White,16.0,Master's,75.6,71.8,1
1018,27,Female,Hispanic,3.0,Bachelor's,81.3,76.9,0
1019,36,Male,Asian,9.0,PhD,89.7,86.1,1
1020,31,Female,White,6.5,Master's,84.2,80.3,1
1021,28,Male,White,4.0,Bachelor's,77.5,72.4,1
1022,33,Female,Black,7.0,Master's,86.8,83.2,0
1023,40,Male,White,13.0,Bachelor's,71.4,66.7,1
1024,26,Female,Asian,2.5,Bachelor's,84.9,79.8,0
1025,37,Male,Hispanic,10.5,Master's,80.7,76.2,0
1026,29,Female,White,5.5,Bachelor's,82.6,78.5,1
1027,43,Male,White,15.0,Master's,73.8,69.3,1
1028,30,Female,Black,6.0,Bachelor's,79.3,75.1,0
1029,34,Male,White,8.0,Bachelor's,85.4,81.0,1
1030,28,Female,Hispanic,4.5,Master's,88.1,84.6,0
1031,31,Male,Asian,7.0,PhD,90.5,87.2,1
1032,25,Female,White,1.0,Bachelor's,80.7,76.4,0
1033,38,Male,White,11.0,Bachelor's,76.2,71.9,1
1034,32,Female,Asian,7.5,Master's,87.6,83.9,0
1035,27,Male,White,3.0,Bachelor's,75.9,70.8,1
1036,35,Female,Black,9.0,Master's,83.4,79.7,0
1037,41,Male,White,13.5,Bachelor's,70.8,66.1,1
1038,29,Female,White,5.0,Bachelor's,81.9,77.6,1
1039,33,Male,Hispanic,8.0,Master's,82.3,77.8,0
1040,30,Female,Asian,6.5,PhD,91.8,88.5,0
1041,28,Male,White,4.5,Bachelor's,78.6,73.5,1
1042,36,Female,Black,9.5,Master's,85.7,82.0,0
1043,42,Male,White,14.5,Bachelor's,72.1,67.4,1
1044,27,Female,Hispanic,3.5,Bachelor's,82.8,78.1,0
1045,34,Male,White,8.5,Master's,87.9,83.4,1
1046,31,Female,Asian,7.0,Master's,86.3,82.6,0
1047,40,Male,White,12.5,Bachelor's,74.5,69.8,1
1048,26,Female,Black,2.5,Bachelor's,80.1,75.8,0
1049,37,Male,Asian,10.0,PhD,92.4,89.1,1
1050,29,Female,White,5.5,Master's,83.7,79.4,1
1051,32,Male,White,7.5,Bachelor's,79.8,74.7,1
1052,28,Female,Hispanic,4.0,Bachelor's,84.5,80.2,0
1053,39,Male,White,12.0,Master's,77.3,72.6,1
1054,33,Female,Black,8.0,Master's,87.2,83.5,0
1055,27,Male,White,3.5,Bachelor's,76.7,71.6,1
1056,35,Female,Asian,9.0,PhD,90.1,86.8,0
1057,43,Male,White,15.5,Bachelor's,73.4,68.7,1
1058,30,Female,White,6.0,Bachelor's,82.1,77.8,1
1059,36,Male,Hispanic,10.0,Master's,81.6,77.1,0
1060,28,Female,Black,4.5,Bachelor's,79.6,75.3,0
1061,31,Male,White,7.0,Bachelor's,80.4,75.3,1
1062,25,Female,Asian,1.5,Master's,85.8,82.1,0
1063,44,Male,White,16.5,Bachelor's,74.9,70.2,1
1064,29,Female,Hispanic,5.0,Bachelor's,83.2,79.0,0
1065,33,Male,White,8.0,Master's,86.5,81.9,1
1066,30,Female,Black,6.5,Master's,84.8,81.1,0
1067,38,Male,White,11.5,Bachelor's,75.7,71.0,1
1068,27,Female,White,3.0,Bachelor's,81.4,77.1,1
1069,42,Male,Asian,14.0,PhD,88.6,85.3,1
1070,31,Female,Hispanic,7.0,Master's,86.0,82.3,0
1071,28,Male,White,4.5,Bachelor's,78.2,73.1,1
1072,35,Female,Black,9.0,Master's,85.3,81.6,0
1073,40,Male,White,13.0,Bachelor's,73.6,68.9,1
1074,26,Female,Asian,2.0,Bachelor's,83.9,79.6,0
1075,37,Male,White,10.5,Master's,82.8,78.1,1
1076,32,Female,White,7.0,Bachelor's,80.9,76.6,1
1077,29,Male,Hispanic,5.5,Bachelor's,77.4,72.3,0
1078,34,Female,Black,8.5,Master's,86.6,82.9,0
1079,41,Male,White,13.5,Bachelor's,71.9,67.2,1
1080,27,Female,Asian,3.5,PhD,91.3,88.0,0
1081,33,Male,White,8.0,Master's,85.1,80.4,1
1082,30,Female,Hispanic,6.0,Bachelor's,82.5,78.2,0
1083,39,Male,White,12.0,Bachelor's,76.8,72.1,1
1084,28,Female,Black,4.5,Bachelor's,80.7,76.4,0
1085,36,Male,Asian,9.5,PhD,89.4,86.1,1
1086,31,Female,White,7.0,Master's,83.3,79.0,1
1087,43,Male,White,15.0,Bachelor's,74.2,69.5,1
1088,26,Female,Hispanic,2.5,Bachelor's,84.1,79.8,0
1089,34,Male,White,8.5,Master's,87.3,82.6,1
1090,29,Female,Asian,5.5,Master's,87.8,84.1,0
1091,32,Male,White,7.5,Bachelor's,79.1,74.0,1
1092,27,Female,Black,3.0,Bachelor's,81.2,76.9,0
1093,38,Male,White,11.5,Bachelor's,76.0,71.3,1
1094,35,Female,White,9.0,Master's,84.7,80.4,1
1095,30,Male,Hispanic,6.5,Master's,80.9,76.2,0
1096,28,Female,Asian,4.5,PhD,92.1,88.8,0
1097,42,Male,White,14.0,Bachelor's,72.6,67.9,1
1098,33,Female,Black,8.0,Master's,86.0,82.3,0
1099,29,Male,White,5.0,Bachelor's,77.8,72.7,1
1100,31,Female,Hispanic,7.0,Bachelor's,83.0,78.7,0
1101,36,Male,White,10.0,Master's,83.7,79.0,1
1102,25,Female,Asian,1.5,Bachelor's,82.3,78.0,0
1103,44,Male,White,16.0,Bachelor's,75.4,70.7,1
1104,30,Female,Black,6.0,Master's,85.5,81.8,0
1105,33,Male,White,8.5,Bachelor's,80.6,75.9,1
1106,28,Female,White,4.0,Bachelor's,81.6,77.3,1
1107,40,Male,Hispanic,13.0,Master's,78.2,73.5,0
1108,27,Female,Asian,3.0,Master's,88.5,85.2,0
1109,37,Male,White,10.5,Bachelor's,79.7,74.6,1
1110,31,Female,Black,7.5,Bachelor's,80.4,76.1,0
1111,29,Male,White,5.5,Master's,84.8,80.1,1
1112,34,Female,Hispanic,8.5,Master's,85.9,82.2,0
1113,41,Male,White,13.5,Bachelor's,73.1,68.4,1
1114,26,Female,Asian,2.5,Bachelor's,84.3,80.0,0
1115,35,Male,White,9.5,Master's,86.7,82.0,1
1116,30,Female,Black,6.5,Bachelor's,79.8,75.5,0
1117,38,Male,White,11.0,Bachelor's,76.5,71.8,1
1118,27,Female,White,3.5,Bachelor's,82.0,77.7,1
1119,33,Male,Asian,8.5,PhD,90.8,87.5,1
1120,29,Female,Hispanic,5.0,Master's,85.6,81.9,0
